index,Democrat,Republican,Ambigious,i_score,party
820070433420640257,5,3,2,,
41344448,5,3,2,0.25,Democrat
502394586,3,4,3,0.10714285714285701,Democrat
118289772,4,1,5,0.375,Democrat
2848219950,5,3,3,0.5,Republican
532695195,5,3,5,0.33333333333333304,Democrat
826426447430615040,7,1,2,,
747232285,4,3,3,0.11842105263157801,Democrat
843491282051772416,0,8,2,0.796875,Republican
239336273,6,7,1,0.18694421531090302,Democrat
27014567,10,0,0,0.5,Republican
411978591,0,7,3,,
839692420073709569,5,3,3,,
2831991019,6,3,2,0.21428571428571402,Democrat
801304331131715584,3,4,4,0.225,Democrat
967507597493440513,6,1,3,,
18946095,1,7,2,,
74792510,6,0,10,0.261363636363636,Democrat
17976087,8,2,1,0.014705882352941001,Democrat
765832471,6,4,0,0.35000000000000003,Democrat
214554256,5,1,5,0.280003243791391,Democrat
2751326834,0,6,5,0.5625,Republican
2319250925,5,3,3,0.25,Democrat
85291311,7,1,3,0.25,Democrat
110173621,5,0,5,,
18342912,5,3,2,0.047619047619047006,Democrat
1557586243,6,1,4,0.204545454545454,Democrat
805446101851586561,6,0,5,,
108417706,1,1,8,0.0,Democrat
2161351860,6,4,1,0.17500000000000002,Democrat
228901209,4,0,7,0.305555555555555,Democrat
34527814,7,0,7,0.27,Democrat
295009113,5,1,5,0.27083333333333304,Democrat
822869798279331841,7,1,4,,
40406017,5,2,3,,
32513127,3,1,8,0.28571428571428503,Democrat
263747020,8,1,2,0.33333333333333304,Democrat
38339743,5,2,3,0.25,Democrat
17224548,6,2,3,0.33333333333333304,Democrat
2638240907,7,4,0,0.269230769230769,Democrat
215475487,7,1,12,0.25,Democrat
523807752,7,2,3,,
1462626500,6,2,3,0.25,Democrat
1393468201,4,2,6,0.125,Democrat
915855913336131584,9,0,2,0.225,Democrat
591169299,1,5,4,,
817346308537286658,2,4,5,,
485399103,4,3,3,0.234375,Democrat
279217505,5,1,5,0.24631895491510003,Democrat
213131150,4,6,1,0.201923076923076,Democrat
2896149285,5,2,3,0.22727272727272702,Democrat
198709715,6,1,3,0.35000000000000003,Democrat
833388403328634885,3,3,4,,
4499749708,1,5,4,,
763136216359329792,0,8,2,,
67058543,3,0,12,0.1875,Democrat
265676949,3,0,8,0.30000000000000004,Democrat
132934212,6,2,2,,
2270142561,3,1,7,,
312919115,4,0,6,0.20535714285714202,Democrat
763891061508956160,7,3,0,0.13157894736842102,Democrat
718703,3,1,6,0.375,Democrat
22502456,5,5,4,0.392857142857142,Democrat
751956652631420929,4,0,6,,
3018129356,2,0,9,,
358789268,5,4,3,,
340651511,5,0,5,0.25,Democrat
18829520,3,1,6,0.15384615384615302,Democrat
770289359476097024,3,2,5,0.234375,Democrat
606850755,2,3,6,,
238656915,5,3,4,0.24166666666666603,Democrat
39204230,6,0,4,0.5,Republican
534649948,3,3,4,0.208096780751188,Democrat
486119747,3,5,2,0.291666666666666,Democrat
3718578135,2,5,3,,
1206441186,8,4,1,,
