index,Democrat,Republican,Ambigious,ideology_score,party,news_count,politicians_flw_count,worldview_alignment
820070433420640257,5,3,2,,,,,0.375
41344448,5,3,2,0.25,Democrat,3.0,40,0.625
502394586,3,4,3,0.10714285714285701,Democrat,14.0,27,0.42857142857142855
118289772,4,1,5,0.375,Democrat,8.0,10,0.8
2848219950,5,3,3,0.5,Republican,3.0,47,0.625
532695195,5,3,5,0.33333333333333304,Democrat,6.0,15,0.625
826426447430615040,7,1,2,0.25,Democrat,8.0,2,0.875
747232285,4,3,3,0.11842105263157801,Democrat,19.0,8,0.5714285714285714
843491282051772416,0,8,2,0.796875,Republican,16.0,8,1.0
239336273,6,7,1,,,,10,0.5384615384615384
27014567,10,0,0,0.5,Republican,2.0,31,1.0
411978591,0,7,3,1.0,Republican,3.0,1,1.0
839692420073709569,5,3,3,,,,,0.375
2831991019,6,3,2,0.21428571428571402,Democrat,28.0,8,0.6666666666666666
801304331131715584,3,4,4,0.225,Democrat,10.0,36,0.42857142857142855
967507597493440513,6,1,3,,,,,0.14285714285714285
18946095,1,7,2,,,,3,0.875
74792510,6,0,10,0.261363636363636,Democrat,22.0,14,1.0
17976087,8,2,1,0.014705882352941001,Democrat,17.0,23,0.8
765832471,6,4,0,0.35000000000000003,Democrat,10.0,45,0.6
214554256,5,1,5,,,,5,0.16666666666666666
2751326834,0,6,5,0.5625,Republican,12.0,25,1.0
2319250925,5,3,3,0.25,Democrat,16.0,18,0.625
85291311,7,1,3,0.25,Democrat,1.0,7,0.875
110173621,5,0,5,,,,4,0.0
18342912,5,3,2,0.047619047619047006,Democrat,42.0,22,0.625
1557586243,6,1,4,0.204545454545454,Democrat,11.0,17,0.8571428571428571
805446101851586561,6,0,5,,,,,0.0
108417706,1,1,8,0.0,Democrat,3.0,15,0.5
2161351860,6,4,1,0.17500000000000002,Democrat,10.0,90,0.6
228901209,4,0,7,0.305555555555555,Democrat,9.0,9,1.0
34527814,7,0,7,0.27,Democrat,25.0,7,1.0
295009113,5,1,5,0.27083333333333304,Democrat,12.0,35,0.8333333333333334
822869798279331841,7,1,4,,,,,0.125
40406017,5,2,3,0.16666666666666602,Democrat,3.0,2,0.7142857142857143
32513127,3,1,8,0.28571428571428503,Democrat,7.0,8,0.75
263747020,8,1,2,0.33333333333333304,Democrat,6.0,17,0.8888888888888888
38339743,5,2,3,0.25,Democrat,1.0,25,0.7142857142857143
17224548,6,2,3,0.33333333333333304,Democrat,3.0,12,0.75
2638240907,7,4,0,0.269230769230769,Democrat,13.0,66,0.6363636363636364
215475487,7,1,12,0.25,Democrat,6.0,16,0.875
523807752,7,2,3,,,,,0.2222222222222222
1462626500,6,2,3,0.25,Democrat,3.0,26,0.75
1393468201,4,2,6,0.125,Democrat,2.0,10,0.6666666666666666
915855913336131584,9,0,2,0.225,Democrat,10.0,15,1.0
591169299,1,5,4,0.221774193548387,Democrat,62.0,,0.16666666666666666
817346308537286658,2,4,5,,,,,0.6666666666666666
485399103,4,3,3,0.234375,Democrat,16.0,9,0.5714285714285714
279217505,5,1,5,,,,19,0.16666666666666666
213131150,4,6,1,0.201923076923076,Democrat,26.0,37,0.4
2896149285,5,2,3,0.22727272727272702,Democrat,11.0,15,0.7142857142857143
198709715,6,1,3,0.35000000000000003,Democrat,5.0,6,0.8571428571428571
833388403328634885,3,3,4,,,,,0.5
4499749708,1,5,4,,,,,0.8333333333333334
763136216359329792,0,8,2,0.818181818181818,Republican,11.0,3,1.0
67058543,3,0,12,0.1875,Democrat,8.0,25,1.0
265676949,3,0,8,0.30000000000000004,Democrat,5.0,30,1.0
132934212,6,2,2,0.321428571428571,Democrat,14.0,,0.75
2270142561,3,1,7,0.425,Democrat,10.0,1,0.75
312919115,4,0,6,0.20535714285714202,Democrat,28.0,27,1.0
763891061508956160,7,3,0,0.13157894736842102,Democrat,19.0,21,0.7
718703,3,1,6,0.375,Democrat,2.0,5,0.75
22502456,5,5,4,0.392857142857142,Democrat,7.0,28,0.5
751956652631420929,4,0,6,,,,,0.0
3018129356,2,0,9,0.375,Democrat,2.0,2,1.0
358789268,5,4,3,,,,,0.4444444444444444
340651511,5,0,5,0.25,Democrat,3.0,29,1.0
18829520,3,1,6,0.15384615384615302,Democrat,13.0,32,0.75
770289359476097024,3,2,5,0.234375,Democrat,16.0,8,0.6
606850755,2,3,6,0.0625,Democrat,12.0,,0.4
238656915,5,3,4,0.24166666666666603,Democrat,30.0,36,0.625
39204230,6,0,4,0.5,Republican,1.0,43,1.0
534649948,3,3,4,,,,46,0.5
486119747,3,5,2,0.291666666666666,Democrat,6.0,25,0.375
3718578135,2,5,3,0.26339285714285704,Democrat,56.0,,0.2857142857142857
1206441186,8,4,1,0.125,Democrat,2.0,3,0.6666666666666666
780479026343194624,5,1,7,0.30000000000000004,Democrat,5.0,12,0.8333333333333334
35118619,3,5,2,0.241847826086956,Democrat,92.0,26,0.375
872013572,7,3,1,0.25,Democrat,4.0,9,0.7
172094388,4,3,4,0.25,Democrat,8.0,36,0.5714285714285714
10546842,5,3,3,0.277777777777777,Democrat,18.0,13,0.625
2209175376,7,4,1,0.203125,Democrat,16.0,1,0.6363636363636364
1019271116416790528,5,2,3,0.0,Democrat,1.0,31,0.7142857142857143
860896142,1,6,4,0.8541666666666661,Republican,12.0,4,0.8571428571428571
2065711,1,3,7,0.4375,Democrat,4.0,,0.25
47207344,4,3,3,0.375,Democrat,2.0,7,0.5714285714285714
16116612,6,0,5,0.25,Democrat,2.0,4,1.0
824538800739258368,6,0,5,0.25,Democrat,7.0,46,1.0
290616931,10,2,1,0.15384615384615302,Democrat,13.0,8,0.8333333333333334
3614423541,2,2,6,0.17500000000000002,Democrat,10.0,2,0.5
46505400,4,2,6,0.375,Democrat,4.0,3,0.6666666666666666
46223338,6,0,4,0.208333333333333,Democrat,6.0,3,1.0
2285830538,5,1,5,0.4375,Democrat,4.0,10,0.8333333333333334
187780598,5,3,2,0.2,Democrat,55.0,28,0.625
14464925,4,3,3,0.25,Democrat,6.0,28,0.5714285714285714
14057737,4,1,5,0.256410256410256,Democrat,78.0,4,0.8
22027485,5,2,4,,,,30,0.2857142857142857
72751159,8,2,5,0.22222222222222202,Democrat,9.0,6,0.8
929715517,2,6,2,,,,26,0.75
2301659114,5,1,6,0.416666666666666,Democrat,3.0,13,0.8333333333333334
866797912491216899,1,8,1,,,,,0.8888888888888888
132485140,7,2,3,0.15,Democrat,5.0,14,0.7777777777777778
903999580085264384,2,2,6,0.25,Democrat,19.0,14,0.5
3271823850,5,1,4,0.30000000000000004,Democrat,5.0,27,0.8333333333333334
2445593759,5,1,5,0.225,Democrat,10.0,20,0.8333333333333334
16062332,3,2,6,0.0,Democrat,1.0,19,0.6
2523889105,7,4,1,0.2,Democrat,5.0,26,0.6363636363636364
1051813561,3,5,2,0.25,Democrat,3.0,4,0.375
40395356,8,5,0,0.25,Democrat,6.0,33,0.6153846153846154
