,claim,URL,truth_value,date,topic
0,There’s an unlimited supply of water being generated “deep within the Earth.”,https://www.politifact.com/factchecks/2022/sep/07/instagram-posts/no-there-isnt-unlimited-supply-water-being-made-un/,barely-true,"August 27, 2022",climate-change
1,"Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",https://www.politifact.com/factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/,half-true,"August 22, 2022",climate-change
2,“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,half-true,"August 7, 2022",climate-change
3,“96% of U.S. climate data is corrupted.”,https://www.politifact.com/factchecks/2022/aug/19/facebook-posts/fact-checking-talking-point-about-corrupted-climat/,false,"July 27, 2022",climate-change
4,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,https://www.politifact.com/factchecks/2022/aug/19/league-conservation-voters/johnson-called-climate-change-bull-took-700000-don/,true,"August 13, 2022",climate-change
5,"""Bill Gates and AOC say that a cow emits more pollution than a car.""",https://www.politifact.com/factchecks/2022/aug/15/facebook-posts/bill-gates-and-aoc-never-said-cows-emitted-more-po/,false,"July 31, 2022",climate-change
6,Electric cars in California are not sustainable as only 10% of their batteries are recyclable and the state can’t recycle them.,https://www.politifact.com/factchecks/2022/aug/11/instagram-posts/video-underestimates-californias-capacity-accommod/,false,"June 9, 2022",climate-change
7,Photo shows electric cars that were bought for civil servants in France and then abandoned because “it was too expensive to replace the batteries.”,https://www.politifact.com/factchecks/2022/aug/10/viral-image/no-photo-doesnt-show-abandoned-french-electric-car/,false,"August 7, 2022",climate-change
8,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",https://www.politifact.com/factchecks/2022/jul/29/facebook-posts/overheating-can-cause-blood-clots-uks-met-office-d/,false,"July 17, 2022",climate-change
9,"""Plankton in the Atlantic Ocean is 90% gone.""",https://www.politifact.com/factchecks/2022/jul/27/instagram-posts/no-90-plankton-atlantic-ocean-did-not-die/,false,"July 21, 2022",climate-change
10,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,https://www.politifact.com/factchecks/2022/jul/27/instagram-posts/no-jane-goodalls-population-comments-didnt-spark-p/,pants-fire,"July 24, 2022",climate-change
11,Germany weather maps show media exaggerating effects of climate change.,https://www.politifact.com/factchecks/2022/jul/27/facebook-posts/different-weather-maps-dont-prove-climate-change-i/,false,"July 22, 2022",climate-change
12,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",https://www.politifact.com/factchecks/2022/jul/26/facebook-posts/no-watching-30-minutes-netflix-does-not-release-sa/,false,"July 5, 2022",climate-change
13,"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.""",https://www.politifact.com/factchecks/2022/jul/22/instagram-posts/no-100-corporations-do-not-produce-70-total-greenh/,false,"July 10, 2022",climate-change
14,Images of Plymouth Rock prove sea levels are not rising.,https://www.politifact.com/factchecks/2022/jul/20/facebook-posts/plymouth-rock-pictures-dont-prove-sea-levels-are-s/,false,"July 12, 2022",climate-change
15,"“Drought is a lie” designed to limit farming, reduce the food supply and ultimately control Americans.",https://www.politifact.com/factchecks/2022/jul/19/facebook-posts/much-us-experiencing-drought-s-not-lie/,pants-fire,"July 6, 2022",climate-change
16,Photo shows a trashed venue in Glastonbury after climate activist Greta Thunberg spoke there.,https://www.politifact.com/factchecks/2022/jun/28/viral-image/photo-2015-wrongly-described-showing-aftermath-gre/,false,"June 27, 2022",climate-change
17,Studies show plastics can help combat climate change.,https://www.politifact.com/factchecks/2022/may/26/facebook-posts/fact-checking-claim-plastics-can-help-combat-clima/,half-true,"May 16, 2022",climate-change
18,“CO2 is not a pollutant.”,https://www.politifact.com/factchecks/2022/may/12/suburban-virginia-republican-coalition/yes-carbon-dioxide-pollutant/,false,"April 30, 2022",climate-change
19,"In cutting greenhouse gas emissions, the United States is “the leader in the world by far.”",https://www.politifact.com/factchecks/2022/apr/06/dan-sullivan/does-us-lead-cutting-greenhouse-gases-it-depends-h/,half-true,"March 23, 2022",climate-change
20,"“If you look at windmills” and the greenhouse gas emissions from building to retiring them, “the overall return is negative.”",https://www.politifact.com/factchecks/2022/mar/28/eli-bremer/gop-senate-candidates-muddled-claim-about-windmill/,false,"March 23, 2022",climate-change
21,"""Bill Gates hatches 'horribly stupid' plan to block out the sun""",https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/claim-bill-gates-scheming-block-sun-wrong/,false,"February 21, 2022",climate-change
22,“Facebook is spamming all climate articles by misleading readers about” the accuracy of climate models.,https://www.politifact.com/factchecks/2022/feb/04/watts/checking-claim-facebook-oversells-accuracy-climate/,false,"January 31, 2022",climate-change
23,Images show how climate change destroyed the Greenland ice sheet and harmed a polar bear from 2009 to 2019.,https://www.politifact.com/factchecks/2022/jan/19/facebook-posts/10-years-challenge-climate-change-exaggerates-impa/,false,"January 12, 2022",climate-change
24,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",https://www.politifact.com/factchecks/2021/dec/23/facebook-posts/fact-checking-state-endangered-animals-extinctions/,false,"December 12, 2021",climate-change
25,A chart shows China and India are leading in per capita carbon dioxide emissions.,https://www.politifact.com/factchecks/2021/dec/02/facebook-posts/china-and-indias-carbon-dioxide-emissions-context/,half-true,"October 28, 2021",climate-change
26,"“Within two years, there were two 500-year (storm) events” in Wisconsin.",https://www.politifact.com/factchecks/2021/nov/30/tammy-baldwin/wisconsin-has-seen-more-two-500-year-storm-events-/,mostly-true,"November 6, 2021",climate-change
27,Photos show “diesel generators” at the COP26 climate change conference.,https://www.politifact.com/factchecks/2021/nov/10/tweets/Those-are-not-diesel-generators-at-the-COP26-clim/,false,"November 9, 2021",climate-change
28,“Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.”,https://www.politifact.com/factchecks/2021/nov/03/viral-image/2008-quote-does-not-reflect-scientific-consensus-h/,false,"November 1, 2021",climate-change
29,“Greenland's ice sheet isn't shrinking any more rapidly today than it was 80 years ago.”,https://www.politifact.com/factchecks/2021/nov/03/steven-koonin/greenland-lost-ice-faster-decade-80-years-ago/,barely-true,"October 26, 2021",climate-change
30,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",https://www.politifact.com/factchecks/2021/oct/28/randy-feenstra/biden-administration-predicted-liquid-fuel-cars-ou/,true,"October 5, 2021",climate-change
31,“COP26 luxury EVs to be recharged using diesel generators”,https://www.politifact.com/factchecks/2021/oct/26/blog-posting/no-diesel-fuel-isnt-recharging-electric-cars-cop26/,barely-true,"October 24, 2021",climate-change
