1,twitter_id,full_name,political_party,gender,state,type,ideology,leadership,name,party,description,introduced_bills_117,cosponsored_bills_117,unique_cosponsors_117,total_cosponsors_117
400050,43910797,Sherrod Brown,Democrat,M,OH,sen,0.1349708912284275,0.7782556635536014,Brown,Democrat,progressive Democratic leader,85,554,92,825
300018,117501995,Maria Cantwell,Democrat,F,WA,sen,0.2837643797536284,0.4452119400702726,Cantwell,Democrat,rank-and-file Democrat,30,225,79,206
400064,109071031,Benjamin L. Cardin,Democrat,M,MD,sen,0.2416531315545072,0.871564895633995,Cardin,Democrat,moderate Democratic leader,77,459,91,657
300019,249787913,Thomas R. Carper,Democrat,M,DE,sen,0.3259581882955914,0.4106950724485618,Carper,Democrat,moderate Democratic follower,28,244,71,160
412246,171598736,"Robert P. Casey, Jr.",Democrat,M,PA,sen,0.259964107923627,0.714778266738424,Casey,Democrat,rank-and-file Democrat,118,503,85,799
300043,476256944,Dianne Feinstein,Democrat,F,CA,sen,0.2034943905341122,0.7161930134827684,Feinstein,Democrat,moderate Democratic leader,79,626,86,586
412242,22044727,Amy Klobuchar,Democrat,F,MN,sen,0.2007414977226105,0.8544943529271346,Klobuchar,Democrat,moderate Democratic leader,166,680,99,1038
400272,18695134',Robert Menendez,Democrat,M,NJ,sen,0.2686266003783777,1.0,Menendez,Democrat,moderate Democratic leader,152,362,92,1291
400357,29442313,Bernard Sanders,Independent,M,VT,sen,0.0,0.2991873202237566,Sanders,Independent,lonely left-leaning Independent,36,428,46,238
300093,76456274,Debbie Stabenow,Democrat,F,MI,sen,0.2664396269429837,0.5937662246494273,Stabenow,Democrat,rank-and-file Democrat,50,395,99,527
412244,515822213,Jon Tester,Democrat,M,MT,sen,0.4981731755799786,0.7041232615127575,Tester,Democrat,centrist Democrat,72,284,91,596
412247,242555999,Sheldon Whitehouse,Democrat,M,RI,sen,0.1885307528958819,0.5513739777055824,Whitehouse,Democrat,rank-and-file Democrat,58,475,74,418
412251,202206694,John Barrasso,Republican,M,WY,sen,0.9083208623054626,0.5439249248244454,Barrasso,Republican,conservative Republican,47,276,99,376
400432,264219447,Roger F. Wicker,Republican,M,MS,sen,0.8560821068205344,0.6365836100173613,Wicker,Republican,moderate Republican leader,62,403,95,300
300025,19726613,Susan M. Collins,Republican,F,ME,sen,0.5505805181312736,0.7150643908149541,Collins,Republican,centrist Republican leader,48,495,83,365
300027,13218102,John Cornyn,Republican,M,TX,sen,0.8936231083841834,0.8768693612023644,Cornyn,Republican,moderate Republican leader,102,365,95,619
300038,247334603,Richard J. Durbin,Democrat,M,IL,sen,0.1446293736338642,0.7653069895625025,Durbin,Democrat,progressive Democratic leader,111,578,92,733
300047,14845376,Lindsey Graham,Republican,M,SC,sen,0.693981552647093,0.6632588112993013,Graham,Republican,centrist Republican leader,29,188,76,248
300055,7270292,James M. Inhofe,Republican,M,OK,sen,0.973631227493872,0.4646052243435354,Inhofe,Republican,conservative Republican,31,291,69,209
300072,339822881,Mitch McConnell,Republican,M,KY,sen,0.694979880627228,0.5077002733968118,McConnell,Republican,centrist Republican,14,92,100,208
412325,29201047,Jeff Merkley,Democrat,M,OR,sen,0.0389387141217207,0.6342673271717908,Merkley,Democrat,progressive Democrat,83,567,76,523
300081,486694111,Jack Reed,Democrat,M,RI,sen,0.1645218833785866,0.4879858186686773,Reed,Democrat,rank-and-file Democrat,52,317,77,297
412322,1096059529,James E. Risch,Republican,M,ID,sen,0.8925132038549123,0.4838905572944293,Risch,Republican,rank-and-file Republican,45,320,73,286
412323,109287731,Jeanne Shaheen,Democrat,F,NH,sen,0.3373934507528482,0.7158606364081047,Shaheen,Democrat,moderate Democratic leader,75,431,94,673
412321,7429102,Mark R. Warner,Democrat,M,VA,sen,0.3947837263216863,0.5646608992709085,Warner,Democrat,rank-and-file Democrat,47,263,99,289
412223,899978622416695297,Kirsten E. Gillibrand,Democrat,F,NY,sen,0.0740834258765107,0.649181000264879,Gillibrand,Democrat,progressive Democrat,77,487,92,588
412390,15324851,Christopher A. Coons,Democrat,M,DE,sen,0.4045768422313381,0.7166837178755522,Coons,Democrat,centrist Democratic leader,70,458,92,521
412391,234374703,"Joe Manchin, III",Democrat,M,WV,sen,0.5798140378314646,0.4687279714200719,Manchin,Democrat,centrist Democrat,48,201,78,211
400004,76452765,Robert B. Aderholt,Republican,M,AL,rep,0.6243720559424073,0.1980243488850509,Aderholt,Republican,moderate Republican follower,1,167,5,5
400013,1074518754,Tammy Baldwin,Democrat,F,WI,sen,0.2150371262485411,0.6418347911435022,Baldwin,Democrat,rank-and-file Democrat,56,532,79,331
412404,239949176,Karen Bass,Democrat,F,CA,rep,0.1268994803070015,0.8364118870228585,Bass,Democrat,progressive Democratic leader,39,668,251,933
412330,224285242,Michael F. Bennet,Democrat,M,CO,sen,0.3135355427680081,0.4030154863692922,Bennet,Democrat,moderate Democratic follower,48,357,66,137
412250,26051676,Gus M. Bilirakis,Republican,M,FL,rep,0.700559179095495,0.6947977465761158,Bilirakis,Republican,moderate Republican leader,29,383,350,566
400030,249410485,"Sanford D. Bishop, Jr.",Democrat,M,GA,rep,0.3284511088699861,0.2985720384773911,Bishop [GA2],Democrat,centrist Democratic follower,9,464,80,103
400032,278145569,Marsha Blackburn,Republican,F,TN,sen,0.975011460805509,0.4210605523721223,Blackburn,Republican,conservative Republican,67,482,67,334
400033,137823987,Earl Blumenauer,Democrat,M,OR,rep,0.0911596963793659,0.913675969542288,Blumenauer,Democrat,progressive Democratic leader,57,947,313,1365
412490,278124059,Richard Blumenthal,Democrat,M,CT,sen,0.1009954810173347,0.6426829261804324,Blumenthal,Democrat,progressive Democrat,91,873,75,675
400034,21269970,Roy Blunt,Republican,M,MO,sen,0.7725200951147327,0.5260504338070843,Blunt,Republican,rank-and-file Republican,26,243,60,98
400040,5558312,John Boozman,Republican,M,AR,sen,0.8670691629468826,0.4975659536510654,Boozman,Republican,rank-and-file Republican,20,395,99,304
400046,19926675,Kevin Brady,Republican,M,TX,rep,0.5462384066054704,0.4722646263574607,Brady,Republican,centrist Republican,12,98,122,322
412395,237299871,Mo Brooks,Republican,M,AL,rep,0.7224694032810643,0.298682003506252,Brooks,Republican,conservative Republican,14,262,70,151
412196,20467163,Vern Buchanan,Republican,M,FL,rep,0.5339784669674089,0.6189246147547764,Buchanan,Republican,centrist Republican leader,28,200,227,407
412427,234812598,Larry Bucshon,Republican,M,IN,rep,0.6611066007053629,0.2696233739087122,Bucshon,Republican,rank-and-file Republican,10,228,33,34
400052,15751083,Michael C. Burgess,Republican,M,TX,rep,0.6749653490476787,0.434972949999226,Burgess,Republican,rank-and-file Republican,43,283,115,175
400054,21157904,Richard Burr,Republican,M,NC,sen,0.6822737243589667,0.4568959746215023,Burr,Republican,centrist Republican,22,174,87,154
400616,432676344,G. K. Butterfield,Democrat,M,NC,rep,0.2405960015341826,0.4035844743777819,Butterfield,Democrat,moderate Democratic follower,17,352,152,231
400057,22545491,Ken Calvert,Republican,M,CA,rep,0.6439689434105675,0.4193010172414202,Calvert,Republican,rank-and-file Republican,22,262,120,186
400061,193794406,Shelley Moore Capito,Republican,F,WV,sen,0.7399599590479484,0.401843528775807,Capito,Republican,rank-and-file Republican,22,415,85,228
412258,199325935,André Carson,Democrat,M,IN,rep,0.0964300342457662,0.4907066645077564,Carson,Democrat,progressive Democrat,17,1036,151,271
400068,18030431,John R. Carter,Republican,M,TX,rep,0.5669232099442191,0.1706874279720533,Carter [TX31],Republican,moderate Republican follower,6,141,18,19
412269,1017500185356853248,Bill Cassidy,Republican,M,LA,sen,0.794486891798029,0.5239310868130821,Cassidy,Republican,rank-and-file Republican,59,335,81,205
412195,1880674038,Kathy Castor,Democrat,F,FL,rep,0.1688724177750247,0.8067653936319094,Castor,Democrat,moderate Democratic leader,25,476,394,758
400071,237750442,Steve Chabot,Republican,M,OH,rep,0.6971471650381627,0.5562738811310955,Chabot,Republican,moderate Republican leader,14,260,98,125
412379,193732179,Judy Chu,Democrat,F,CA,rep,0.1084659795055598,0.8610954522175615,Chu,Democrat,progressive Democratic leader,38,784,258,1408
