,news_outlet,dem_rep_trustscores
0,nytimes.com,"[3.07667731629393, 2.3789731051344742]"
1,washingtonpost.com,"[3.084664536741214, 2.4034229828850857]"
2,usatoday.com,"[2.987220447284345, 2.5721271393643033]"
3,wsj.com,"[2.3993610223642174, 2.2420537897310515]"
4,latimes.com,"[2.5287539936102235, 2.002444987775061]"
5,nydailynews.com,"[2.477635782747604, 2.1051344743276283]"
6,nypost.com,"[2.6789137380191694, 2.2762836185819073]"
7,bostonglobe.com,"[2.5063897763578273, 2.0831295843520783]"
8,sfchronicle.com,"[2.1645367412140577, 1.8557457212713937]"
9,dailymail.co.uk,"[2.2380191693290734, 2.0929095354523226]"
10,msnbc.com,"[3.05111821086262, 2.3618581907090466]"
11,cnn.com,"[3.196485623003195, 2.454767726161369]"
12,abcnews.go.com,"[3.087859424920128, 2.4278728606356967]"
13,foxnews.com,"[2.463258785942492, 3.17359413202934]"
14,cbsnews.com,"[3.119808306709265, 2.611246943765281]"
15,bbc.co.uk,"[2.686900958466454, 2.2640586797066016]"
16,news.yahoo.com,"[2.769968051118211, 2.4400977995110025]"
17,aol.com/news,"[2.501597444089457, 2.273838630806846]"
18,huffingtonpost.com,"[2.8706070287539935, 2.3398533007334965]"
19,chicagotribune.com,"[2.7140575079872202, 2.259168704156479]"
20,dailykos.com,"[1.8306709265175718, 1.7603911980440097]"
21,crooksandliars.com,"[1.6932907348242812, 1.726161369193154]"
22,dailywire.com,"[2.0031948881789137, 1.9584352078239609]"
23,redstate.com,"[1.7108626198083068, 1.882640586797066]"
24,blacklistednews.com,"[1.7140575079872205, 1.765281173594132]"
25,dailycaller.com,"[1.817891373801917, 1.902200488997555]"
26,commondreams.org,"[1.7156549520766773, 1.7359413202933984]"
27,ijr.com,"[1.7300319488817892, 1.7750611246943766]"
28,newsmax.com,"[1.889776357827476, 1.9535452322738387]"
29,thepoliticalinsider.com,"[1.8753993610223643, 1.921760391198044]"
30,activepost.com,"[1.779552715654952, 1.7995110024449879]"
31,rawstory.com,"[1.781150159744409, 1.7359413202933984]"
32,westernjournal.com,"[1.8370607028753994, 1.8924205378973105]"
33,conservativetribune.com,"[1.7651757188498403, 2.1662591687041566]"
34,dailysignal.com,"[1.8306709265175718, 1.80440097799511]"
35,patriotpost.us,"[1.7412140575079873, 1.8997555012224938]"
36,antiwar.com,"[1.755591054313099, 1.7359413202933984]"
37,thedailysheeple.com,"[1.7412140575079873, 1.7506112469437654]"
38,breitbart.com,"[1.7396166134185302, 2.0831295843520783]"
39,infowars.com,"[1.7428115015974441, 1.9462102689486553]"
40,clashdaily.com,"[1.718849840255591, 1.6943765281173595]"
41,downtrend.com,"[1.7460063897763578, 1.7872860635696821]"
42,conservativedailypost.com,"[1.8003194888178913, 2.053789731051345]"
43,onepoliticalplaza.com,"[1.7619808306709266, 1.7701711491442542]"
44,yournewswire.com,"[1.7619808306709266, 1.7677261613691932]"
45,bbp.com,"[1.7044728434504792, 1.726161369193154]"
46,beforeitsnews.com,"[1.7252396166134185, 1.80440097799511]"
47,whatdoesitmean.com,"[1.768370607028754, 1.7750611246943766]"
48,socialeverythings.com,"[1.7268370607028753, 1.7212713936430317]"
49,angrypatriotmovement.com,"[1.6613418530351438, 1.80440097799511]"
50,channelnews.com,"[2.0143769968051117, 1.9584352078239609]"
51,freedomdaily.com,"[1.8003194888178913, 1.8386308068459658]"
52,newsbreakshere.com,"[1.79073482428115, 1.7921760391198045]"
53,realnewsrightnow.com,"[1.8115015974440896, 1.8606356968215159]"
54,notallowedto.com,"[1.65814696485623, 1.6919315403422983]"
55,nowews.com,"[1.8498402555910542, 1.7995110024449879]"
56,reactcom,"[1.6789137380191694, 1.728606356968215]"
57,americannews.com,"[1.8881789137380192, 1.885085574572127]"
58,dailybuzzlive.com,"[2.0351437699680512, 1.9070904645476772]"
59,thenewyorkevening.com,"[2.0191693290734825, 1.8997555012224938]"
