,0,1,2,3
18166778,7740,Jim Jordan,0.5897612782917684,Republican
29501253,7258,Adam B. Schiff,0.1858128462483524,Democrat
15764644,7089,Nancy Pelosi,0.2895196954647118,Democrat
970207298,6953,Elizabeth Warren,0.1529197918045746,Democrat
818948638890217473,6827,Matt Gaetz,0.7715724278104826,Republican
1074480192,6438,Ted Cruz,1.0,Republican
942156122,6067,Eric Swalwell,0.2374406694890226,Democrat
17494010,5645,Charles E. Schumer,0.2730793991642295,Democrat
19739126,5529,Kevin McCarthy,0.4244059091105753,Republican
1081222837459996672,5456,Katie Porter,0.1744024220438422,Democrat
29442313,5430,Bernard Sanders,0.0,Independent
36686040,5358,Maxine Waters,0.156184394295256,Democrat
1344356576786866176,4911,Marjorie Taylor Greene,0.4958307543741099,Republican
22055226,4278,Louie Gohmert,0.8319599309142403,Republican
10615232,4247,Chuck Grassley,0.7547372608676488,Republican
816652616625168388,4077,Andy Biggs,0.7884128777548738,Republican
1080894931311431682,4051,Dan Crenshaw,0.6810222885203938,Republican
278145569,3983,Marsha Blackburn,0.975011460805509,Republican
2750127259,3965,Lee M. Zeldin,0.5784299156665748,Republican
806906355214852096,3903,Jamie Raskin,0.090727551037523,Democrat
242555999,3892,Sheldon Whitehouse,0.1885307528958819,Democrat
476256944,3782,Dianne Feinstein,0.2034943905341122,Democrat
798973032362606600,3599,Val Butler Demings,0.2361875853622902,Democrat
814179031956488192,3436,Raja Krishnamoorthi,0.2699954850914394,Democrat
40302336,3417,Jerrold Nadler,0.0867672971877431,Democrat
1058520120,3387,Tammy Duckworth,0.1969618350760661,Democrat
217543151,3383,Tim Scott,0.8508846082010207,Republican
1209417007,3348,Steve Scalise,0.5438186501568207,Republican
975200486,3342,Thomas Massie,0.5157979470112265,Republican
968650362,3319,Tom Cotton,0.958009226442368,Republican
467823431,3301,Hakeem S. Jeffries,0.1993369386059045,Democrat
88784440,3254,Mike Lee,0.796284147563868,Republican
2962813893,3235,Elise M. Stefanik,0.7652261923351776,Republican
278124059,3125,Richard Blumenthal,0.1009954810173347,Democrat
92186819,3073,Mazie K. Hirono,0.1144431760264955,Democrat
815733290955112448,3042,Pramila Jayapal,0.0570586425532942,Democrat
1342989756611907584,2891,Lauren Boebert,0.6382462897108265,Republican
247334603,2832,Richard J. Durbin,0.1446293736338642,Democrat
233737858,2728,Ron Johnson,0.7953719611885226,Republican
816683274076614656,2724,John Kennedy,0.8761953318431736,Republican
