,0,1
thegatewaypundit.com,40531,strong republican
foxnews.com,40131,lean republican
breitbart.com,27625,strong republican
washingtonpost.com,20423,lean democratic
nypost.com,17723,strong republican
nytimes.com,13903,lean democratic
thefederalist.com,12893,strong republican
cnn.com,12879,lean democratic
theepochtimes.com,12711,lean republican
rawstory.com,10826,strong democratic
dailycaller.com,9581,strong republican
theguardian.com,7994,lean democratic
nbcnews.com,7485,lean democratic
thehill.com,6430,centrist
dailymail.co.uk,6392,strong republican
today.com,6089,lean democratic
msnbc.com,5850,strong democratic
townhall.com,5795,strong republican
apnews.com,5092,centrist
theblaze.com,4843,strong republican
redstate.com,4813,strong republican
newsweek.com,4720,lean democratic
washingtontimes.com,4467,lean republican
oann.com,4395,lean republican
thedailybeast.com,4330,strong democratic
washingtonexaminer.com,4292,lean republican
wnd.com,4152,strong republican
usatoday.com,4034,centrist
reuters.com,3869,centrist
businessinsider.com,3854,centrist
dailykos.com,3649,strong democratic
newsmax.com,3648,strong republican
cbsnews.com,3478,lean democratic
pjmedia.com,3174,strong republican
americanthinker.com,3154,strong republican
freebeacon.com,3103,strong republican
cnbc.com,2712,centrist
nationalreview.com,2619,strong republican
axios.com,2595,centrist
bloomberg.com,2594,centrist
forbes.com,2467,centrist
latimes.com,2321,lean democratic
infowars.com,2151,strong republican
abcnews.go.com,1978,lean democratic
rollingstone.com,1883,strong democratic
mediaite.com,1757,lean democratic
theatlantic.com,1701,lean democratic
judicialwatch.org,1603,lean republican
hotair.com,1487,lean republican
politicususa.com,1464,strong democratic
vice.com,1413,strong democratic
realclearpolitics.com,1362,centrist
bbc.com,1247,centrist
miamiherald.com,1160,lean democratic
newyorker.com,1147,strong democratic
pbs.org,1136,centrist
salon.com,1015,strong democratic
cnsnews.com,1014,strong republican
nymag.com,990,strong democratic
vanityfair.com,948,lean democratic
vox.com,931,strong democratic
alternet.org,914,strong democratic
motherjones.com,908,strong democratic
time.com,892,lean democratic
thenation.com,873,strong democratic
frontpagemag.com,866,strong republican
ft.com,804,centrist
propublica.org,797,centrist
mediamatters.org,797,strong democratic
ajc.com,730,lean democratic
telegraph.co.uk,712,lean republican
slate.com,690,strong democratic
cbn.com,676,strong republican
politifact.com,652,lean democratic
democracynow.org,648,strong democratic
observer.com,630,centrist
dailysignal.com,603,strong republican
jpost.com,598,centrist
theintercept.com,572,strong democratic
bostonglobe.com,567,lean democratic
nydailynews.com,550,strong democratic
theweek.com,508,centrist
factcheck.org,471,centrist
theverge.com,446,lean democratic
spectator.org,393,strong republican
newrepublic.com,382,strong democratic
usnews.com,371,lean democratic
scientificamerican.com,347,centrist
thecollegefix.com,329,strong republican
aljazeera.com,323,centrist
post-gazette.com,321,lean republican
c-span.org,304,centrist
bluevirginia.us,284,strong democratic
chicagotribune.com,262,centrist
sfchronicle.com,251,strong democratic
whatfinger.com,210,strong republican
huffingtonpost.com,202,strong democratic
buzzfeed.com,199,lean democratic
theroot.com,192,lean democratic
chicago.suntimes.com,190,lean democratic
city-journal.org,190,strong republican
rasmussenreports.com,183,centrist
sfgate.com,182,lean democratic
economist.com,180,lean democratic
esquire.com,178,strong democratic
investors.com,177,lean republican
theamericanconservative.com,170,lean republican
thinkprogress.org,167,strong democratic
fivethirtyeight.com,166,centrist
sacbee.com,157,lean democratic
rollcall.com,150,centrist
mashable.com,150,strong democratic
teenvogue.com,144,lean democratic
bostonherald.com,144,lean republican
jacobinmag.com,137,strong democratic
mercurynews.com,127,lean democratic
tallahassee.com,124,centrist
boingboing.net,109,strong democratic
westernjournalism.com,108,strong republican
qz.com,107,centrist
ibtimes.com,92,centrist
courier-journal.com,85,lean democratic
upworthy.com,81,strong democratic
washingtonmonthly.com,70,lean democratic
eurekalert.org,70,centrist
grist.org,68,lean democratic
defenseone.com,66,centrist
ocregister.com,64,lean republican
ijreview.com,59,lean republican
rightsidenews.com,57,strong republican
techcrunch.com,52,centrist
richmond.com,49,lean republican
calmatters.org,47,centrist
sciencedaily.com,47,centrist
foreignaffairs.com,43,centrist
mtv.com,40,lean democratic
drudgereport.com,40,lean republican
cookpolitical.com,39,centrist
